토큰,등장연월,len
마이크로,"['2014-12', '2016-12', '2017-7', '2018-7', '2021-8']",5
모니터링,"['2016-4', '2016-10', '2020-1', '2021-1', '2021-2']",5
방송,"['2016-5', '2017-10', '2020-9', '2020-11', '2021-8']",5
야구,"['2018-6', '2018-12', '2019-1', '2020-2', '2021-2']",5
임대,"['2019-8', '2020-1', '2020-5', '2020-6', '2020-7']",5
배기,"['2014-4', '2015-8', '2015-12', '2016-2', '2016-7']",5
인문학,"['2017-8', '2019-8', '2019-9', '2020-2', '2021-2']",5
수채화,"['2018-10', '2019-2', '2019-12', '2021-3', '2021-6']",5
소독약,"['2018-9', '2018-10', '2018-11', '2019-2', '2019-8']",5
주목,"['2019-6', '2019-9', '2019-10', '2020-4', '2020-5']",5
아크릴,"['2016-1', '2020-5', '2021-4', '2021-9', '2021-10']",5
태그,"['2013-10', '2014-7', '2017-9', '2018-12', '2021-9']",5
인프라,"['2017-2', '2018-9', '2019-1', '2019-11', '2020-1']",5
자석,"['2020-6', '2020-8', '2020-9', '2020-12', '2021-11']",5
공헌,"['2017-10', '2018-8', '2019-2', '2019-12', '2020-2']",5
골프,"['2016-2', '2018-6', '2018-7', '2019-1', '2019-2']",5
불문,"['2014-8', '2020-5', '2020-6', '2021-5', '2021-7']",5
진동,"['2013-8', '2013-11', '2013-12', '2016-9', '2019-6']",5
부영,"['2019-2', '2020-3', '2020-7', '2021-3', '2021-10']",5
배관,"['2013-5', '2020-1', '2020-2', '2020-8', '2021-4']",5
합장,"['2018-12', '2019-4', '2019-10', '2021-9', '2021-10']",5
냉각수,"['2013-5', '2016-4', '2017-4', '2018-6', '2019-4']",5
이동형,"['2014-8', '2018-3', '2018-6', '2019-2', '2021-4']",5
충격,"['2018-11', '2019-4', '2020-10', '2021-3', '2021-4']",5
밀웜,"['2019-2', '2020-5', '2020-9', '2020-11', '2021-11']",5
저울,"['2013-10', '2015-5', '2016-2', '2018-2', '2019-5']",5
스위치,"['2013-4', '2013-10', '2020-5', '2020-10', '2020-11']",5
레이져,"['2013-10', '2013-12', '2014-2', '2017-9', '2018-8']",5
현미경,"['2016-2', '2017-7', '2017-9', '2017-10', '2018-7']",5
매트리스,"['2014-1', '2015-1', '2015-2', '2015-6', '2016-7']",5
이동,"['2015-12', '2016-7', '2018-8', '2021-9', '2021-10']",5
조사,"['2014-1', '2014-7', '2016-12', '2017-9', '2021-1']",5
담임,"['2018-9', '2019-7', '2020-5', '2020-8', '2021-7']",5
생물학,"['2019-9', '2019-10', '2019-11', '2020-1', '2020-2']",5
정품,"['2018-6', '2020-6', '2021-4', '2021-6', '2021-11']",5
국고,"['2016-1', '2016-7', '2016-8', '2016-9', '2016-10']",5
감염,"['2020-4', '2020-5', '2020-9', '2020-10', '2020-11']",5
자원,"['2018-9', '2019-1', '2019-11', '2020-1', '2020-2']",5
살균,"['2016-1', '2018-9', '2020-5', '2020-9', '2021-7']",5
미니,"['2019-10', '2020-10', '2021-1', '2021-2', '2021-11']",5
기질,"['2013-11', '2014-7', '2016-2', '2017-4', '2019-7']",5
옷장,"['2017-7', '2017-11', '2018-7', '2019-7', '2020-2']",5
백업,"['2013-10', '2019-1', '2019-5', '2020-2', '2021-9']",5
설계,"['2019-6', '2020-6', '2021-6', '2021-11', '2021-12']",5
연속,"['2014-1', '2014-12', '2015-12', '2017-4', '2017-7']",5
입학사정관,"['2018-8', '2018-9', '2019-8', '2019-9', '2020-7']",5
취임,"['2019-3', '2019-4', '2020-2', '2021-5', '2021-6']",5
그린,"['2013-8', '2014-6', '2019-1', '2019-12', '2020-1']",5
수기,"['2017-2', '2019-5', '2019-11', '2021-2', '2021-5']",5
간행물,"['2014-1', '2014-12', '2015-12', '2017-4', '2021-9']",5
장갑,"['2018-8', '2018-10', '2019-10', '2020-2', '2021-10']",5
일회용,"['2020-3', '2020-6', '2020-7', '2020-8', '2021-5']",5
워크스테이션,"['2015-6', '2015-10', '2016-2', '2017-1', '2017-7']",5
증명,"['2017-1', '2019-4', '2020-11', '2021-2', '2021-10']",5
소독기,"['2018-2', '2020-2', '2020-8', '2020-11', '2021-7']",5
탐방,"['2013-4', '2013-7', '2014-3', '2014-5', '2018-9']",5
